,NAME,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,INCOME_AMT,ASK_AMT,IS_SUCCESSFUL
21726,Other,T3,Independent,C1000,Preservation,Trust,1M+,58021014,0
21727,Other,T3,Independent,C2000,Preservation,Trust,0,5000,0
21728,FLORIDA STATE UNIVERSITY ALUMNI ASSOCIATION,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
21729,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,T3,Independent,C1200,Preservation,Association,0,5000,0
21730,Other,T3,Independent,C1200,Preservation,Trust,100000-499999,445217,1
21731,SERTOMA INC,T3,CompanySponsored,C1000,Preservation,Trust,1-99999,5000,0
21732,Other,T4,Independent,C1000,Preservation,Trust,0,5000,0
21733,Other,T19,Independent,C1000,ProductDev,Trust,0,5000,0
21734,INTERNATIONAL ASSOCIATION OF SHEET METAL AIR RAIL & TRANSPORTATION,T5,CompanySponsored,C3000,ProductDev,Association,1-99999,645191,1
21735,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
21736,INTERNATIONAL ASSOCIATION OF SHEET METAL AIR RAIL & TRANSPORTATION,T5,CompanySponsored,C3000,ProductDev,Association,1-99999,523385,1
21737,FLORIDA STATE UNIVERSITY ALUMNI ASSOCIATION,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
21738,SERTOMA INC,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,17635,0
21739,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
21740,Other,T3,Independent,C2000,Preservation,Trust,0,5000,0
21741,AMERICAN COLLEGE OF PHYSICIANS,T3,CompanySponsored,Other,Preservation,Association,100000-499999,262191,0
21742,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
21743,Other,T3,Independent,C1000,Preservation,Trust,1-99999,19621,0
21744,PTA FLORIDA CONGRESS,T3,Independent,C1000,Preservation,Association,0,5000,0
21745,Other,T19,Independent,C1000,Preservation,Association,0,5000,1
21746,FRATERNAL ORDER OF EAGLES,Other,CompanySponsored,C1000,ProductDev,Association,100000-499999,349822,0
21747,Other,T4,Independent,C1000,ProductDev,Trust,0,5000,0
21748,INTERNATIONAL ASSOCIATION OF SHEET METAL AIR RAIL & TRANSPORTATION,T5,CompanySponsored,C3000,ProductDev,Association,0,5000,1
21749,Other,T3,Independent,C1200,Preservation,Trust,0,5000,0
21750,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,1747544,1
21751,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,456724,0
21752,Other,T3,Independent,C2000,Preservation,Trust,1-99999,868007,1
21753,THE UNITED STATES PONY CLUBS INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
21754,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
21755,SERTOMA INC,T3,CompanySponsored,C1000,Preservation,Trust,1-99999,44761,0
21756,LITTLE LEAGUE BASEBALL INC,T3,CompanySponsored,C1000,Preservation,Trust,1-99999,18514,0
21757,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,1M+,6357885,0
21758,LITTLE LEAGUE BASEBALL INC,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,56459,0
21759,SERTOMA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
21760,FLORIDA EDUCATION ASSOCIATION,T5,CompanySponsored,C3000,ProductDev,Association,0,5000,0
21761,FRATERNAL ORDER OF POLICE,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,0
21762,Other,T3,Independent,C2000,Preservation,Trust,1-99999,1034729,0
21763,FRATERNAL ORDER OF EAGLES,Other,CompanySponsored,C1000,ProductDev,Association,100000-499999,5000,0
21764,Other,T3,Independent,C1000,Preservation,Trust,1-99999,21200,1
21765,FUTURE FARMERS OF AMERICA AND ITS STATE ASSOCIATIONS & LOCAL CHAPTER,T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
21766,SERTOMA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
21767,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,1M+,3163706,0
21768,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,T5,CompanySponsored,C3000,ProductDev,Association,0,5000,1
21769,SERTOMA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
21770,Other,T3,Independent,C2000,Preservation,Trust,0,5000,0
21771,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,357969,0
21772,ROYAL ORDER OF JESTERS,Other,CompanySponsored,C1000,Preservation,Association,0,5000,1
21773,Other,T6,Independent,C1000,ProductDev,Trust,0,5000,0
21774,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
21775,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
21776,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
21777,LITTLE LEAGUE BASEBALL INC,T3,CompanySponsored,C1000,Preservation,Trust,1-99999,105692,0
21778,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Association,1M+,2918799,0
21779,Other,T3,Independent,C2000,Preservation,Trust,1M+,856299,1
21780,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Association,1M+,3869795,0
21781,TOASTMASTERS INTERNATIONAL,T3,CompanySponsored,C2000,Preservation,Association,0,5000,1
21782,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,1M+,13271680,0
21783,Other,T5,Independent,C1000,ProductDev,Association,0,5000,1
21784,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Association,1M+,21572220,0
21785,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,1M+,2956854,0
21786,Other,T3,Independent,C1200,Preservation,Trust,100000-499999,149317,1
21787,TOASTMASTERS INTERNATIONAL,T3,CompanySponsored,C2000,Preservation,Association,0,5000,1
21788,Other,T3,Independent,Other,Preservation,Trust,1-99999,98660,1
21789,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
21790,US LACROSSE INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
21791,CREATIVE OPPORTUNITIES UNLIMITED,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,103376,0
21792,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
21793,FRATERNAL ORDER OF POLICE,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,1
21794,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
21795,NATIONAL FEDERATION OF MUSIC CLUBS,T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
21796,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,1M+,5718317,0
21797,UNITED STATES PONY CLUBS INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
21798,Other,T6,Independent,C2000,ProductDev,Trust,0,5000,1
21799,Other,T3,Independent,C1200,Preservation,Trust,100000-499999,277861,1
21800,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,1M+,6550140,0
21801,Other,T3,Independent,C2000,Preservation,Trust,100000-499999,211072,1
21802,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
21803,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,T5,CompanySponsored,C3000,ProductDev,Association,100000-499999,426746,1
21804,Other,T3,Independent,C2000,Preservation,Trust,0,5000,0
21805,Other,T6,Independent,C1000,ProductDev,Trust,0,5000,1
21806,UNIVERSITY OF FLORIDA ALUMNI ASSOCIATION INC,T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
21807,Other,T3,Independent,C1000,Preservation,Trust,1-99999,45990,1
21808,SOCIETY FOR PRESERVATION & ENCRGMNT OF BARBERSHOP QUARTET SINGING AMER,T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
21809,KIWANIS INTERNATIONAL INC,T3,Independent,C1000,Preservation,Trust,0,5000,0
21810,AMERICAN SOCIETY OF ADDICTION MEDICINE INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
21811,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,T5,CompanySponsored,C3000,ProductDev,Association,100000-499999,128234,1
21812,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
21813,Other,T3,Independent,C2000,Preservation,Trust,0,5000,0
21814,Other,T3,Independent,C1000,Preservation,Trust,1M+,20853123,0
21815,Other,T3,Independent,C1000,Heathcare,Trust,1-99999,740860,0
21816,SAFARI CLUB INTERNATIONAL,T4,CompanySponsored,C3000,ProductDev,Association,1-99999,53287,1
21817,NATIONAL BLACK NURSES ASSOCIATION INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
21818,Other,T3,Independent,C1000,Preservation,Trust,1M+,3236064,0
21819,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
21820,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,1M+,6255803,0
21821,Other,T3,Independent,C1000,Preservation,Trust,1M+,1919422,0
21822,MARINE CORPS LEAGUE,T4,CompanySponsored,C3000,Preservation,Association,0,5000,0
21823,ROAD RUNNERS CLUB OF AMERICA,T3,CompanySponsored,C1000,Preservation,Association,100000-499999,90271,1
21824,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
21825,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
21826,Other,T3,Independent,C2000,Preservation,Trust,100000-499999,5000,1
21827,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,108245,1
21828,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
21829,SERTOMA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
21830,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
21831,POP WARNER LITTLE SCHOLARS INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
21832,INTERNATIONAL ASSOCIATION OF SHEET METAL AIR RAIL & TRANSPORTATION,T5,CompanySponsored,C3000,ProductDev,Association,0,5000,1
21833,Other,T6,CompanySponsored,C2000,ProductDev,Trust,1-99999,17566,1
21834,Other,T3,Independent,C2000,Preservation,Association,0,5000,1
21835,Other,T3,Independent,C1200,Preservation,Trust,100000-499999,72491,1
21836,AIR FORCE ASSOCIATION,T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
21837,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
21838,NATIONAL ASSOCIATION OF TEACHERS OF SINGING INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
21839,UNITED STATE PONY CLUBS INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
21840,LITTLE LEAGUE BASEBALL INC,T3,CompanySponsored,C1000,Preservation,Trust,1-99999,8748,1
21841,POP WARNER LITTLE SCHOLARS INC,T3,CompanySponsored,C2000,Preservation,Trust,100000-499999,266241,1
21842,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
21843,Other,T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
21844,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
21845,Other,Other,Independent,C1000,Preservation,Association,0,5000,1
21846,NATIONAL ASSOCIATION OF WATCH AND CLOCK COLLECTORS INC,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,0
21847,Other,T3,Independent,C2000,Preservation,Association,0,5000,0
21848,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
21849,Other,T3,Independent,C2000,Preservation,Trust,0,5000,0
21850,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
21851,ALTRUSA INTERNATIONAL FOUNDATION INC,T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
21852,FRATERNAL ORDER OF POLICE,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,1
21853,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
21854,FLORIDA STATE UNIVERSITY ALUMNI ASSOCIATION,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
21855,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
21856,Other,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
21857,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
21858,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
21859,Other,T6,Independent,C2000,ProductDev,Trust,0,5000,0
21860,HARMONY INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
21861,Other,T3,Independent,C1000,Preservation,Trust,1M+,187647500,1
21862,TOASTMASTERS INTERNATIONAL,T3,CompanySponsored,C2000,Preservation,Association,0,5000,1
21863,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
21864,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
21865,Other,T3,Independent,C2100,Preservation,Trust,0,5000,1
21866,Other,T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
21867,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
21868,Other,T3,Independent,C1200,Preservation,Trust,1-99999,18150,1
21869,MUSIC TEACHERS NATIONAL ASSOCIATION,T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
21870,Other,T3,CompanySponsored,C1000,Preservation,Association,100000-499999,42811,0
21871,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
21872,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
21873,Other,T3,Independent,C1000,Preservation,Association,0,5000,1
21874,Other,T3,Independent,Other,Preservation,Trust,1-99999,586825,1
21875,Other,T3,Independent,C1000,Heathcare,Trust,1M+,36468164,0
21876,Other,T3,Independent,Other,Preservation,Trust,1-99999,21389,1
21877,Other,T3,Independent,C1000,Preservation,Trust,1-99999,5000,1
21878,Other,Other,Independent,C1000,ProductDev,Trust,0,5000,1
21879,Other,T3,Independent,C2000,Preservation,Trust,100000-499999,17162,0
21880,NATIONAL KITCHEN & BATH ASSOC,T6,CompanySponsored,C2000,ProductDev,Trust,0,5000,1
21881,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,T5,CompanySponsored,C3000,ProductDev,Association,0,5000,0
21882,Other,T3,Independent,Other,Preservation,Trust,100000-499999,925825,1
21883,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
21884,Other,T3,Independent,C1000,Heathcare,Trust,1M+,148183962,1
21885,Other,T3,Independent,C2000,Preservation,Trust,100000-499999,325987,0
21886,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,23000,0
21887,Other,Other,Independent,C1000,ProductDev,Trust,0,5000,0
21888,PROJECT MANAGEMENT INSTITUTE,T6,CompanySponsored,C2000,ProductDev,Association,1-99999,57733,1
21889,Other,T3,Independent,Other,Preservation,Trust,100000-499999,91089,0
21890,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
21891,Other,T3,Independent,C1000,Preservation,Trust,1M+,2811704,0
21892,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
21893,FLORIDA NATIVE PLANT SOCIETY INC,T3,CompanySponsored,C2000,Preservation,Association,0,5000,1
21894,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
21895,FLORIDA STATE UNIVERSITY ALUMNI ASSOCIATION,T3,CompanySponsored,C2000,Preservation,Trust,1-99999,59324,0
21896,Other,T3,Independent,C2000,Preservation,Trust,100000-499999,595831,0
21897,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,T4,CompanySponsored,C3000,ProductDev,Association,0,5000,1
21898,Other,T3,Independent,C1000,Preservation,Trust,1M+,8875567,0
21899,Other,T3,Independent,C1200,Preservation,Trust,1-99999,360147,0
21900,ORDER OF QUETZALCOATL PLUMED SERPENT,Other,CompanySponsored,C1000,Preservation,Association,0,5000,1
21901,Other,T3,Independent,C1000,Preservation,Trust,1M+,18265615,0
21902,Other,T3,Independent,C1000,Preservation,Trust,1M+,652033,0
21903,FRATERNAL ORDER OF POLICE,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,1
21904,Other,T3,Independent,C1200,Preservation,Trust,100000-499999,277389,1
21905,Other,T3,Independent,C1200,Preservation,Trust,1-99999,5000,1
21906,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
21907,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,265468,1
21908,POP WARNER LITTLE SCHOLARS INC,T3,CompanySponsored,C2000,Preservation,Trust,1-99999,56559,1
21909,FRATERNAL ORDER OF EAGLES,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,0
21910,Other,T3,CompanySponsored,C1000,Preservation,Trust,1-99999,37553961,1
21911,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
21912,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
21913,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,87071,1
21914,PTA FLORIDA CONGRESS,T3,CompanySponsored,C2000,Preservation,Co-operative,0,5000,0
21915,NATIONAL NETWORK OF ABORTION FUNDS,T3,CompanySponsored,C1000,Preservation,Trust,1-99999,17264,0
21916,UNITED STATES PONY CLUBS INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
21917,SONS OF CONFEDERATE VETERANS INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
21918,Other,T3,Independent,C2000,Preservation,Trust,0,5000,0
21919,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
21920,Other,T3,Independent,C1000,Preservation,Trust,1M+,947220,0
21921,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
21922,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,289232,1
21923,Other,T3,CompanySponsored,C2000,Preservation,Association,1-99999,9365,0
21924,Other,T3,Independent,C2100,Preservation,Trust,0,5000,0
21925,Other,Other,Independent,C1000,ProductDev,Trust,1-99999,49804,1
21926,ALLIANCE OF DIVINE LOVE INC,T3,CompanySponsored,Other,Preservation,Association,0,5000,1
21927,Other,T3,Independent,C2000,Heathcare,Trust,1M+,2027283,1
21928,POP WARNER LITTLE SCHOLARS INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
21929,FLORIDA STATE UNIVERSITY ALUMNI ASSOCIATION,T3,CompanySponsored,C2000,Preservation,Trust,100000-499999,24291,0
21930,PTA FLORIDA CONGRESS,T3,Independent,C2000,Preservation,Association,0,5000,0
21931,INTERNATIONAL ASSOCIATION OF ASSESSING OFFICERS,T3,CompanySponsored,Other,Preservation,Trust,1-99999,57246,1
21932,TOASTMASTERS INTERNATIONAL,T3,CompanySponsored,C2000,Preservation,Association,0,5000,1
21933,PTA FLORIDA CONGRESS,T3,CompanySponsored,C2000,Preservation,Co-operative,0,5000,1
21934,Other,T6,Independent,C2000,ProductDev,Trust,100000-499999,65609,0
21935,SERTOMA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
21936,Other,T3,Independent,C1000,Preservation,Trust,1-99999,5000,1
21937,Other,T3,Independent,C1000,Preservation,Trust,1M+,57044943,1
21938,POP WARNER LITTLE SCHOLARS INC,T3,CompanySponsored,C2000,Preservation,Trust,1-99999,53248,1
21939,Other,Other,Independent,C1000,ProductDev,Trust,0,5000,1
21940,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
21941,Other,T3,Independent,C2000,Preservation,Trust,0,5000,0
21942,Other,T3,Independent,C1000,Preservation,Trust,1-99999,1600670,1
21943,ASSOCIATION OF CLINICAL RESEARCH PROFESSIONALS,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
21944,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,687477,1
21945,GREYHOUND PETS OF AMERICA,T3,Independent,C1000,Preservation,Trust,100000-499999,58678,1
21946,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,67414,0
21947,Other,T3,Independent,C2000,Preservation,Trust,1M+,3527276,0
21948,Other,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
21949,SERTOMA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
21950,Other,T3,Independent,C1000,Preservation,Trust,1M+,4925551,0
21951,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,236636,1
21952,Other,T6,Independent,C3000,ProductDev,Trust,100000-499999,111225,0
21953,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
21954,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,63576,0
21955,Other,T3,Independent,C1000,Preservation,Trust,1-99999,54411,0
21956,LITTLE LEAGUE BASEBALL INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
21957,Other,T3,Independent,C1200,Preservation,Trust,1-99999,326369,1
21958,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
21959,FRATERNAL ORDER OF POLICE,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,1
21960,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
21961,KIWANIS INTERNATIONAL INC,T4,CompanySponsored,Other,Preservation,Association,1-99999,15645,0
21962,Other,T4,Independent,C3000,ProductDev,Trust,0,5000,1
21963,Other,T3,Independent,C1000,Preservation,Trust,1M+,2180379,1
21964,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
21965,Other,T3,Independent,C2000,Preservation,Trust,1M+,636153,0
21966,Other,T3,Independent,C2000,Preservation,Trust,1M+,2141300,0
21967,Other,Other,Independent,C1000,Preservation,Trust,0,5000,1
21968,Other,T3,Independent,Other,Preservation,Trust,100000-499999,21264,1
21969,Other,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
21970,Other,T3,Independent,C1000,Preservation,Trust,1M+,464644,0
21971,ALTRUSA INTERNATIONAL FOUNDATION INC,T3,CompanySponsored,C1000,Preservation,Trust,1-99999,772973,1
21972,SERTOMA INC,T3,CompanySponsored,C1000,Preservation,Trust,1-99999,5000,1
21973,NATIONAL INSTITUTE OF GOVERNMENTAL PURCHASING INC,T3,CompanySponsored,Other,Preservation,Association,100000-499999,151686,1
21974,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,5000,1
21975,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
21976,Other,Other,Independent,C1000,ProductDev,Association,0,5000,1
21977,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
21978,Other,T3,Independent,C2000,Preservation,Trust,1-99999,846216,0
21979,INTERNATIONAL ASSOCIATION OF JEWISH GENEALOGICAL SOCIETIES INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
21980,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
21981,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
21982,Other,T3,Independent,Other,Preservation,Association,0,5000,1
21983,Other,T3,Independent,Other,Preservation,Trust,1-99999,15722,1
21984,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
21985,Other,T3,Independent,C2000,Preservation,Trust,0,5000,0
21986,Other,T3,Independent,C2000,Preservation,Trust,1M+,2812677,0
21987,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,T5,CompanySponsored,C3000,ProductDev,Association,100000-499999,204507,1
21988,Other,Other,Independent,C1000,Preservation,Association,0,5000,1
21989,AMVETS,T19,CompanySponsored,C1000,Preservation,Association,100000-499999,117109,1
21990,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
21991,Other,T3,Independent,C1200,Preservation,Trust,0,5000,0
21992,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
21993,Other,T3,Independent,C2000,Preservation,Trust,100000-499999,33105,0
21994,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,71172,0
21995,Other,T6,Independent,C1000,ProductDev,Association,0,5000,1
21996,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
21997,Other,T3,Independent,C2000,Preservation,Association,0,5000,1
21998,INTERNATIONAL ASSOCIATION OF JEWISH GENEALOGICAL SOCIETIES INC,T3,CompanySponsored,Other,Preservation,Trust,0,5000,1
21999,Other,T3,Independent,C1000,Preservation,Trust,1-99999,42497,1
22000,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,220040,1
22001,Other,T3,Independent,Other,Preservation,Trust,1-99999,5000,1
22002,NATIONAL FEDERATION OF MUSIC CLUBS,T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
22003,POP WARNER LITTLE SCHOLARS INC,T3,CompanySponsored,C2000,Preservation,Trust,1-99999,13495,1
22004,Other,T3,Independent,C1200,Preservation,Association,1-99999,24860,1
22005,Other,T3,Independent,C1200,Preservation,Trust,1-99999,8270,1
22006,DAUGHTERS OF ESTHER FELLOWSHIP INTERNATIONAL MINISTRIES INC,T3,CompanySponsored,Other,Preservation,Trust,0,5000,1
22007,SERTOMA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
22008,TOASTMASTERS INTERNATIONAL,T3,CompanySponsored,C2000,Preservation,Association,0,5000,1
22009,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
22010,GREYHOUND PETS OF AMERICA,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,80592,1
22011,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
22012,Other,T3,Independent,C1000,Preservation,Trust,1-99999,492479,1
22013,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
22014,MARINE CORPS LEAGUE,T4,CompanySponsored,C3000,Preservation,Association,0,5000,0
22015,Other,Other,Independent,C1000,ProductDev,Trust,0,5000,1
22016,Other,T3,Independent,C2000,Preservation,Trust,1M+,4598344,0
22017,Other,T3,Independent,C1000,Preservation,Trust,1M+,2372062,1
22018,Other,T6,Independent,C2000,ProductDev,Trust,1M+,10081222,1
22019,Other,T4,Independent,C3000,ProductDev,Trust,0,5000,1
22020,Other,T3,Independent,C1200,Preservation,Trust,1M+,2666776,0
22021,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
22022,MARINE CORPS LEAGUE,T4,CompanySponsored,C3000,Preservation,Association,0,5000,0
22023,Other,T3,Independent,Other,Preservation,Trust,1-99999,111266,1
22024,Other,T3,Independent,C2100,Preservation,Trust,1-99999,5482,0
22025,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,549823,0
22026,COUNTRY DANCE & SONG SOCIETY INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
22027,JACKSONVILLE DISTRICT COUNCIL SOCIETY OF ST VINCENT DE PAUL INC,T3,CompanySponsored,C1000,Preservation,Trust,1M+,1950299,0
22028,FLORIDA FAMILY CHILD CARE HOME ASSOCIATION INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
22029,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
22030,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
22031,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
22032,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
22033,TOASTMASTERS INTERNATIONAL,T3,CompanySponsored,C2000,Preservation,Association,0,5000,1
22034,Other,T3,Independent,C2000,Preservation,Trust,1-99999,5000,1
22035,FLORIDA STATE UNIVERSITY ALUMNI ASSOCIATION,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
22036,Other,T3,Independent,C1000,Preservation,Trust,1-99999,498689,1
